code,name
GO:0002376,"immune system process"
GO:0032502,"developmental process"
GO:0016043,"cellular component organization"
GO:0006259,"DNA metabolic process"
GO:0050896,"response to stimulus"
GO:0000003,"reproduction"
GO:0030154,"cell differentiation"
GO:0008283,"cell population proliferation"
GO:0051234,"establishment of localization"
GO:0023052,"signaling"
GO:0016070,"RNA metabolic process"
GO:0009056,"catabolic process"
